Register_Number,Department,Program,Program_Full_Name,Program_Level,Year_of_Study,Semester,Academic_Year,Subject,Marks_100,Grade,Attendance_Percent,Result,Subject_Avg_Marks,Marks_vs_SubjectAvg
2549027,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,50.1,B,68.1,Pass,58.2,-8.1
2549028,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,94.7,O,74.2,Pass,58.2,36.5
2549029,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,71.8,A,64.2,Pass,58.2,13.6
2549030,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,85.1,A+,96.5,Pass,58.2,26.9
2549031,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,78.5,A,67.2,Pass,58.2,20.3
2549032,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,28.6,F,67.2,Fail,58.2,-29.6
2549033,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,38.7,F,84.5,Fail,58.2,-19.5
2549034,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,30.7,F,82.7,Fail,58.2,-27.5
2549035,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,73,A,67.4,Pass,58.2,14.8
2549036,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,48.1,C,76.4,Pass,58.2,-10.1
2549037,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,89.8,A+,82,Pass,58.2,31.6
2549038,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,66.8,B+,98,Pass,58.2,8.6
2549039,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,74.2,A,78.7,Pass,58.2,16
2549040,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,55,B,63.3,Pass,58.2,-3.2
2549041,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,64.1,B+,67,Pass,58.2,5.9
2549042,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,33.5,F,79.1,Fail,58.2,-24.7
2549043,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,95.4,O,62.9,Pass,58.2,37.2
2549044,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,37.3,F,64,Fail,58.2,-20.9
2549045,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,33.5,A,62.2,Pass,58.2,-24.7
2549046,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,78.7,A,94.7,Pass,58.2,20.5
2549047,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,29.5,F,89.8,Fail,58.2,-28.7
2549048,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,41.1,C,63.9,Pass,58.2,-17.1
2549049,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,65.7,B+,92.7,Pass,58.2,7.5
2549050,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,23.2,F,86.8,Fail,58.2,-35
2549051,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,54.7,B,65.9,Pass,58.2,-3.5
2549052,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,42.7,C,66.2,Pass,58.2,-15.5
2549053,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,28.9,F,83,Fail,58.2,-29.3
2549054,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,46.6,C,73,Pass,58.2,-11.6
2549055,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,80.4,A+,70.2,Pass,58.2,22.2
2448001,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,77.9,A,85.2,Pass,60.8,17.1
2448002,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,92,O,62.3,Pass,60.8,31.2
2448003,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,36.3,F,91.7,Fail,60.8,-24.5
2448004,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,58.8,B,89.1,Pass,60.8,-2
2448005,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,76.4,A,89.2,Pass,60.8,15.6
2448006,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,42.8,C,70.3,Pass,60.8,-18
2448007,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,87.9,A+,96.8,Pass,60.8,27.1
2448008,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,85.1,A+,85.9,Pass,60.8,24.3
2448009,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,33.3,F,72,Fail,60.8,-27.5
2448010,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,71.1,A,65.5,Pass,60.8,10.3
2448011,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,90.2,O,92,Pass,60.8,29.4
2448012,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,70.9,A,91.7,Pass,60.8,10.1
2448013,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,47.2,C,72.4,Pass,60.8,-13.6
2448014,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,57.7,B,93.2,Pass,60.8,-3.1
2448015,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,19.8,F,93.6,Fail,60.8,-41
2448016,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,61.6,B+,79.2,Pass,60.8,0.8
2448017,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,35.5,F,68.4,Fail,60.8,-25.3
2448018,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,54.8,B,84.5,Pass,60.8,-6
2448019,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,53.8,B,70.3,Pass,60.8,-7
2448020,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,50.2,B,89.4,Pass,60.8,-10.6
2448021,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,36.6,F,77.1,Fail,60.8,-24.2
2448022,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,38.6,F,87.4,Fail,60.8,-22.2
2448023,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,34.9,F,67.4,Fail,60.8,-25.9
2448024,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,71.4,A,88.6,Pass,60.8,10.6
2448025,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,71,A,90.8,Pass,60.8,10.2
2448026,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,78.9,A,95.4,Pass,60.8,18.1
2448027,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,71.6,A,87.3,Pass,60.8,10.8
2448028,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,45,C,90.5,Pass,60.8,-15.8
2448029,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,80.9,A+,96.3,Pass,60.8,20.1
2448030,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,63.3,B+,66.3,Pass,60.8,2.5
2448031,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,55.9,B,84.9,Pass,60.8,-4.9
2448032,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,31.9,F,64.8,Fail,60.8,-28.9
2448033,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,78.4,A,81.3,Pass,60.8,17.6
2448034,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,83.1,A+,68.3,Pass,60.8,22.3
2448035,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,83.5,A+,73.8,Pass,60.8,22.7
2448036,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,53.6,B,73.8,Pass,60.8,-7.2
2448037,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,60.6,B+,71,Pass,60.8,-0.2
2448038,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,89.6,A+,93.3,Pass,60.8,28.8
2448039,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,34.9,F,97.1,Fail,60.8,-25.9
2448040,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,88.6,A+,95.3,Pass,60.8,27.8
2448041,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,64.1,B+,67.2,Pass,60.8,3.3
2448042,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,32,F,69.1,Fail,60.8,-28.8
2448043,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,59.8,B,93.7,Pass,60.8,-1
2448044,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,29.6,F,97.5,Fail,60.8,-31.2
2448045,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,30.3,F,79.9,Fail,60.8,-30.5
2448046,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,42.3,C,78.5,Pass,60.8,-18.5
2448047,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,46.5,C,92.3,Pass,60.8,-14.3
2448048,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,71.2,A,72.4,Pass,60.8,10.4
2448049,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,90.7,O,61.9,Pass,60.8,29.9
2448050,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,68.5,B+,84.1,Pass,60.8,7.7
2448051,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,90.2,O,64,Pass,60.8,29.4
2448052,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,49.7,C,70.1,Pass,60.8,-11.1
2448053,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,67.1,B+,61.5,Pass,60.8,6.3
2448054,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,34.9,F,98.3,Fail,60.8,-25.9
2448055,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,87.1,A+,64.7,Pass,60.8,26.3
2448056,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,76.5,A,67.3,Pass,60.8,15.7
2448057,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,93.6,O,78,Pass,60.8,32.8
2448058,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,23.8,F,88.4,Fail,60.8,-37
2448059,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Differential Equations,70.8,A,91.1,Pass,60.8,10
2447001,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,43.4,C,97.2,Pass,54.4,-11
2447002,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,33.8,F,65.9,Fail,54.4,-20.6
2447003,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,82.5,A+,67,Pass,54.4,28.1
2447004,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,89.5,A+,66.6,Pass,54.4,35.1
2447005,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,29,F,73.7,Fail,54.4,-25.4
2447006,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,45.1,C,94,Pass,54.4,-9.3
2447007,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,59.2,B,65.1,Pass,54.4,4.8
2447008,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,34.2,F,80.7,Fail,54.4,-20.2
2447009,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,81.3,A+,72.7,Pass,54.4,26.9
2447010,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,90,O,79.8,Pass,54.4,35.6
2447011,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,92,O,77.6,Pass,54.4,37.6
2447012,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,36.3,F,96.8,Fail,54.4,-18.1
2447013,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,76.7,A,90.6,Pass,54.4,22.3
2447014,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,95.3,O,97.1,Pass,54.4,40.9
2447015,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,29.3,F,67.6,Fail,54.4,-25.1
2447016,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,94.1,O,62.5,Pass,54.4,39.7
2447017,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,45.6,C,76.5,Pass,54.4,-8.8
2447018,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,32.9,F,62.2,Fail,54.4,-21.5
2447019,Physics,PC,B.Sc. Physics Core,UG,2,4,2025-26,Digital Electronics,51.1,B,62.6,Pass,54.4,-3.3
2448001,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,27.8,F,85.2,Fail,54.4,-26.6
2448002,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,41.6,C,62.3,Pass,54.4,-12.8
2448003,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,81.2,A+,91.7,Pass,54.4,26.8
2448004,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,35.2,F,89.1,Fail,54.4,-19.2
2448005,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,65.7,B+,89.2,Pass,54.4,11.3
2448006,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,29,F,70.3,Fail,54.4,-25.4
2448007,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,44.3,C,96.8,Pass,54.4,-10.1
2448008,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,86.3,A+,85.9,Pass,54.4,31.9
2448009,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,17.6,F,72,Fail,54.4,-36.8
2448010,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,29.2,F,65.5,Fail,54.4,-25.2
2448011,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,35.3,F,92,Fail,54.4,-19.1
2448012,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,34.8,F,91.7,Fail,54.4,-19.6
2448013,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,53,B,72.4,Pass,54.4,-1.4
2448014,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,51.6,B,93.2,Pass,54.4,-2.8
2448015,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,79.8,A,93.6,Pass,54.4,25.4
2448016,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,84.6,A+,79.2,Pass,54.4,30.2
2448017,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,33.5,F,68.4,Fail,54.4,-20.9
2448018,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,33.9,F,84.5,Fail,54.4,-20.5
2448019,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,43.9,C,70.3,Pass,54.4,-10.5
2448020,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,85.3,A+,89.4,Pass,54.4,30.9
2448021,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,88.2,A+,77.1,Pass,54.4,33.8
2448022,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,50.2,B,87.4,Pass,54.4,-4.2
2448023,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,34.9,F,67.4,Fail,54.4,-19.5
2448024,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,42,C,88.6,Pass,54.4,-12.4
2448025,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,37.6,F,90.8,Fail,54.4,-16.8
2448026,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,43.5,C,95.4,Pass,54.4,-10.9
2448027,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,49.3,C,87.3,Pass,54.4,-5.1
2448028,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,59,B,90.5,Pass,54.4,4.6
2448029,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,61.3,B+,96.3,Pass,54.4,6.9
2448030,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,67.1,B+,66.3,Pass,54.4,12.7
2448031,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,42.3,C,84.9,Pass,54.4,-12.1
2448032,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,25,F,64.8,Fail,54.4,-29.4
2448033,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,63.8,B+,73.7,Pass,54.4,9.4
2448034,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,59.9,B,68.3,Pass,54.4,5.5
2448035,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,48,C,73.8,Pass,54.4,-6.4
2448036,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,57,B,73.8,Pass,54.4,2.6
2448037,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,71.3,A,71,Pass,54.4,16.9
2448038,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,37.5,F,93.3,Fail,54.4,-16.9
2448039,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,43.9,C,97.1,Pass,54.4,-10.5
2448040,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,81.1,A+,95.3,Pass,54.4,26.7
2448041,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,57.8,B,92.7,Pass,54.4,3.4
2448042,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,37.8,F,69.1,Fail,54.4,-16.6
2448043,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,73.2,A,93.7,Pass,54.4,18.8
2448044,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,74.4,A,97.5,Pass,54.4,20
2448045,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,70.5,A,79.9,Pass,54.4,16.1
2448046,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,56.7,B,78.5,Pass,54.4,2.3
2448047,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,94.3,O,92.3,Pass,54.4,39.9
2448048,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,30.7,F,72.4,Fail,54.4,-23.7
2448049,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,72.7,A,61.9,Pass,54.4,18.3
2448050,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,29,C,84.1,Pass,54.4,-25.4
2448051,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,53.1,B,64,Pass,54.4,-1.3
2448052,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,71.6,A,70.1,Pass,54.4,17.2
2448053,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,24.3,F,61.5,Fail,54.4,-30.1
2448054,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,42.4,C,98.3,Pass,54.4,-12
2448055,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,29.2,F,64.7,Fail,54.4,-25.2
2448056,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,77.6,A,67.3,Pass,54.4,23.2
2448057,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,30.6,F,78,Fail,54.4,-23.8
2448058,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,67.1,B+,88.4,Pass,54.4,12.7
2448059,Physics,PMa,B.Sc. Physics & Mathematics,UG,2,4,2025-26,Digital Electronics,54.2,B,91.1,Pass,54.4,-0.2
2449001,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,91.8,O,90.2,Pass,55.4,36.4
2449002,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,23.1,F,71.9,Fail,55.4,-32.3
2449003,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,35.9,F,72.6,Fail,55.4,-19.5
2449004,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,49,C,77.7,Pass,55.4,-6.4
2449005,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,67.5,B+,81.5,Pass,55.4,12.1
2449006,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,18.9,F,73.9,Fail,55.4,-36.5
2449007,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,72.1,A,70.5,Pass,55.4,16.7
2449008,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,37.3,F,88.6,Fail,55.4,-18.1
2449009,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,72.1,A,80.9,Pass,55.4,16.7
2449010,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,68.7,B+,86.5,Pass,55.4,13.3
2449011,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,77.2,A,78.1,Pass,55.4,21.8
2449012,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,64.6,B+,63.6,Pass,55.4,9.2
2449013,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,79.9,A,81.6,Pass,55.4,24.5
2449014,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,26.4,F,72.1,Fail,55.4,-29
2449015,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,29.9,F,85.6,Fail,55.4,-25.5
2449016,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,40.1,C,62.3,Pass,55.4,-15.3
2449017,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,51.4,B,95.9,Pass,55.4,-4
2449018,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,55.3,B,77.9,Pass,55.4,-0.1
2449019,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,45.1,C,62.3,Pass,55.4,-10.3
2449020,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,42.7,C,76.9,Pass,55.4,-12.7
2449021,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,50.5,B,66.1,Pass,55.4,-4.9
2449022,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,42.3,C,94.7,Pass,55.4,-13.1
2449023,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,29.7,F,74.1,Fail,55.4,-25.7
2449024,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,74.4,A,98,Pass,55.4,19
2449025,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,81.9,A+,73.2,Pass,55.4,26.5
2449026,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,49.5,C,61.5,Pass,55.4,-5.9
2449027,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,78.2,A,64.7,Pass,55.4,22.8
2449028,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,88.1,A+,64.4,Pass,55.4,32.7
2449029,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,31.5,F,70.6,Fail,55.4,-23.9
2449030,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,55.2,B,85.5,Pass,55.4,-0.2
2449031,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,28.4,F,76.3,Fail,55.4,-27
2449032,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,85.3,A+,96.1,Pass,55.4,29.9
2449033,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,32.9,F,95.4,Fail,55.4,-22.5
2449034,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,53.8,B,93.3,Pass,55.4,-1.6
2449035,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,43.2,C,75.3,Pass,55.4,-12.2
2449036,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,37.7,F,70.3,Fail,55.4,-17.7
2449037,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,59.3,B,80.6,Pass,55.4,3.9
2449038,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Dissertation Project,36.4,F,92.3,Fail,55.4,-19
